preset,delta_omega_tri,k_strong,k_weak,n_runs,r_mean,r_sd,plv_pairmean_mean,plv_pairmean_sd,coalition_mean,coalition_sd,leader_dom_mean,leader_dom_sd,leader_antiphase_dom_mean,leader_antiphase_dom_sd
all_to_all,0.2,-1.2,-0.2,5,0.15718265234209763,0.060915926788833924,0.9998716924230718,0.0002869044638383636,0.00019242373528003399,0.00043027255047197024,-9.621186724761976e-05,0.00021513627545844503,0.011456607415937282,0.6972335096608159
all_to_all,0.2,-1.2,-0.1,5,0.15718265234209763,0.060915926788833924,0.9998716924230718,0.0002869044638383636,0.00019242373528003399,0.00043027255047197024,-9.621186724761976e-05,0.00021513627545844503,0.011456607415937282,0.6972335096608159
all_to_all,0.2,-1.2,0.0,5,0.15718265234209763,0.060915926788833924,0.9998716924230718,0.0002869044638383636,0.00019242373528003399,0.00043027255047197024,-9.621186724761976e-05,0.00021513627545844503,0.011456607415937282,0.6972335096608159
all_to_all,0.2,-1.2,0.1,5,0.15718265234209763,0.060915926788833924,0.9998716924230718,0.0002869044638383636,0.00019242373528003399,0.00043027255047197024,-9.621186724761976e-05,0.00021513627545844503,0.011456607415937282,0.6972335096608159
all_to_all,0.2,-1.2,0.2,5,0.15718265234209763,0.060915926788833924,0.9998716924230718,0.0002869044638383636,0.00019242373528003399,0.00043027255047197024,-9.621186724761976e-05,0.00021513627545844503,0.011456607415937282,0.6972335096608159
all_to_all,0.6,-1.2,-0.2,5,0.3829681507541302,0.006569344617952185,0.9953369521692776,0.009799559838060912,0.007450617739072696,0.015594276178359578,-0.0037338623536096625,0.009249336699926964,0.7197813669001525,1.3003036981650986
all_to_all,0.6,-1.2,-0.1,5,0.3829681507541302,0.006569344617952185,0.9953369521692776,0.009799559838060912,0.007450617739072696,0.015594276178359578,-0.0037338623536096625,0.009249336699926964,0.7197813669001525,1.3003036981650986
all_to_all,0.6,-1.2,0.0,5,0.3829681507541302,0.006569344617952185,0.9953369521692776,0.009799559838060912,0.007450617739072696,0.015594276178359578,-0.0037338623536096625,0.009249336699926964,0.7197813669001525,1.3003036981650986
all_to_all,0.6,-1.2,0.1,5,0.3829681507541302,0.006569344617952185,0.9953369521692776,0.009799559838060912,0.007450617739072696,0.015594276178359578,-0.0037338623536096625,0.009249336699926964,0.7197813669001525,1.3003036981650986
all_to_all,0.6,-1.2,0.2,5,0.3829681507541302,0.006569344617952185,0.9953369521692776,0.009799559838060912,0.007450617739072696,0.015594276178359578,-0.0037338623536096625,0.009249336699926964,0.7197813669001525,1.3003036981650986
