preset,delta_omega_tri,k_strong,k_weak,seed,dt,t_max,plv_window_seconds,r_mean_last,plv_01_last,plv_02_last,plv_12_last,plv_pairmean_last,coalition_index,leader_dominance,leader_antiphase_dom_last,d01_last,d02_last,d12_last,mu_01_last,mu_02_last,mu_12_last
coalition_01,0.2,-1.2,0.2,1,0.01,120.0,2.0,0.4741363161878598,0.9999999999999977,0.9999999943263195,0.9999999943164759,0.9999999962142644,5.683521764332511e-09,2.8466826673678725e-09,0.672433096999598,0.4256410880775905,1.7879867337526572,1.7792470079147218,-2.715951565512203,-1.353605919837136,1.3623456456750713
coalition_01,0.2,-1.2,0.2,2,0.01,120.0,2.0,0.3182687836954988,0.9999973413802637,0.9999189461462107,0.9998869297788805,0.9999344057684517,0.00011041160138325345,7.121398435672166e-05,-1.5288458184338134,0.2412663385166989,2.98422733736333,0.08390101950620109,-2.9003263150730945,0.1573653162264631,3.057691634083592
coalition_01,0.2,-1.2,0.2,3,0.01,120.0,2.0,0.30388230097939206,0.9999996424405678,0.9999808631351794,0.9999752739894806,0.9999852598550759,2.4368451087219967e-05,1.4978798393072701e-05,-0.6795742096172139,0.145847207745127,2.4015973679132143,0.5941480782119568,-2.9957454458446664,0.7399952856765789,-2.5474445753778365
coalition_01,0.2,-1.2,0.2,4,0.01,120.0,2.0,0.3035687486567729,0.999999735098865,0.9999842556163653,0.9999799063041819,0.9999879656731373,1.9828794683096618e-05,1.2089053433195218e-05,-0.5858136596020028,0.13849821263080409,2.3464393296243955,0.6566551115255969,-3.0030944409589893,0.7951533239653976,-2.4849375420641966
coalition_01,0.2,-1.2,0.2,5,0.01,120.0,2.0,0.30337212668871466,0.9999999175702573,0.9999907351636634,0.9999924005192727,0.9999943510843977,9.182406593866155e-06,2.925847687573757e-06,1.6756081098659528,0.1171427852644096,0.8601802439137164,2.1642696244550157,-3.0244498683253833,2.2814124096760766,-0.9773230291347774
coalition_01,0.2,-1.2,0.1,1,0.01,120.0,2.0,0.44435101721616316,0.9999999999426795,0.999999430801979,0.9999994193234247,0.9999996166893611,5.806192547863631e-07,2.960489045022996e-07,0.5349250730789776,0.338020687316795,1.8504519494462237,1.629161391460487,-2.8035719662729983,-1.2911407041435696,1.5124312621293061
coalition_01,0.2,-1.2,0.1,2,0.01,120.0,2.0,0.32625838452241557,0.9999998136457087,0.9999762249433748,0.9999718288522029,0.9999826224804288,2.798479350574201e-05,1.6190442338803734e-05,-1.515206055811237,0.25013040915700674,3.002642786501037,0.11118054201778493,-2.8914622444327867,0.13894986708875612,3.030412111572008
coalition_01,0.2,-1.2,0.1,3,0.01,120.0,2.0,0.3165221322873623,0.999999841471777,0.9999789883115308,0.999975179649342,0.9999846698108833,2.4661822434990377e-05,1.4235242311921859e-05,-1.510187515114274,0.2378889762733725,2.863297802902623,0.04040587447372371,-2.903703677316421,0.2782948506871702,-3.1011867791160697
coalition_01,0.2,-1.2,0.1,4,0.01,120.0,2.0,0.29076512327997056,0.9999999610910117,0.9999910547031328,0.999989835882118,0.9999936172254209,1.0125208893763116e-05,5.672014954272164e-06,-0.6752097665789581,0.19752089444380364,2.3470140523487153,0.5970577068173014,-2.9440717591459893,0.7945786012410776,-2.5445349467724925
coalition_01,0.2,-1.2,0.1,5,0.01,120.0,2.0,0.29011455783484197,0.9999999640891282,0.9999903039304826,0.9999914481730566,0.9999939053975558,9.660158645563577e-06,3.685836748812399e-06,1.9211719855826719,0.196276401660658,0.6173373770231089,2.3279788749245554,-2.945316251929136,2.5242552765666844,-0.8136137786652384
coalition_01,0.2,-1.2,0.0,1,0.01,120.0,2.0,0.3898770615385583,0.9999999999995913,1.0000000000000362,0.9999999999999695,0.9999999999998656,4.4486636596730023e-13,-1.5576429035490946e-13,-0.6608181234344368,0.2526802551421848,2.6191672697303097,0.7751056390018105,-2.888912398447609,-0.5224253838594836,2.3664870145879826
coalition_01,0.2,-1.2,0.0,2,0.01,120.0,2.0,0.2841654400278212,0.9999999999995913,1.0000000000005325,0.9999999999995388,0.9999999999998875,9.936496070395151e-13,5.231370892033738e-13,-0.6627301033345552,0.2526802551421848,2.2835349161408662,0.6053774823069704,-2.888912398447609,0.8580577374489268,-2.5362151712828234
coalition_01,0.2,-1.2,0.0,3,0.01,120.0,2.0,0.2969235320758548,0.9999999999995913,1.00000000000045,0.9999999999995978,0.9999999999998797,8.587575095475586e-13,4.2288395007972213e-13,-0.9121816547221355,0.2526802551421848,2.449835950400068,0.43907644804899104,-2.888912398447609,0.6917567031897247,-2.7025162055408023
coalition_01,0.2,-1.2,0.0,4,0.01,120.0,2.0,0.25767560132116163,0.9999999999995913,1.00000000000058,0.9999999999994378,0.9999999999998698,1.142197447734361e-12,6.479261571712414e-13,0.0090733128266125,0.2526802551421848,1.8356659720334731,1.0532464264144414,-2.888912398447609,1.30592668155632,-2.0883462271753515
coalition_01,0.2,-1.2,0.0,5,0.01,120.0,2.0,0.26061615068129734,0.9999999999995913,1.0000000000000528,0.9999999999996234,0.9999999999997559,4.615197113366776e-13,1.9872992140790302e-13,1.2818852698058105,0.2526802551421848,0.9871246673813872,1.9017877310675966,-2.888912398447609,2.154467986208406,-1.239804922522197
