seed,n_students,dt,t_max,plv_window_seconds,k_ts,k_st,k_ss,r_mean_last,ts_plv_mean_last,ss_plv_mean_last,teacher_dominance_last,ts_distpi_mean_last,ss_distpi_mean_last,teacher_antiphase_dom_last
1,10,0.01,120.0,2.0,-1.2,-0.4,-0.2,0.274448930835801,0.9985239233407635,0.9968391424710925,0.0016847808696709432,0.8724737609395861,1.8251909865096254,0.9527172255700393
2,10,0.01,120.0,2.0,-1.2,-0.4,-0.2,0.21485653553965134,0.9952925714819252,0.9903989679901462,0.0048936034917790305,1.046158179659235,1.6826240321965353,0.6364658525373004
3,10,0.01,120.0,2.0,-1.2,-0.4,-0.2,0.18335882685205782,0.9697781968282028,0.9819674982783272,-0.012189301450124423,1.5937113137665413,1.4208077283403413,-0.1729035854262
4,10,0.01,120.0,2.0,-1.2,-0.4,-0.2,0.24098019534169954,0.9967866632563016,0.993251336174265,0.0035353270820366323,1.3419975111987799,1.4930992781478494,0.15110176694906952
5,10,0.01,120.0,2.0,-1.2,-0.4,-0.2,0.20523706582024268,0.9948135415529953,0.9931965588119266,0.0016169827410686954,1.0983170678355016,1.677086734607847,0.5787696667723454
1,10,0.01,120.0,2.0,-1.2,-0.4,0.0,0.5945000348610799,0.9997092648440018,0.9993831539261823,0.00032611091781953316,0.5974156727587475,2.1547217366386215,1.557306063879874
2,10,0.01,120.0,2.0,-1.2,-0.4,0.0,0.31054417848147725,0.9975563259757371,0.9946431213205706,0.0029132046551664237,1.0468629073548246,1.695260497600285,0.6483975902454604
3,10,0.01,120.0,2.0,-1.2,-0.4,0.0,0.2897744293108993,0.9847208095642758,0.9816774370764637,0.003043372487812057,1.1846428991835152,1.696661370884257,0.5120184717007419
4,10,0.01,120.0,2.0,-1.2,-0.4,0.0,0.4395135331487197,0.9969473409670414,0.9933282758936719,0.0036190650733695096,1.0950804132127474,1.7079606568564458,0.6128802436436984
5,10,0.01,120.0,2.0,-1.2,-0.4,0.0,0.3335976635107084,0.9982358766926195,0.9964808180638705,0.0017550586287490288,0.8586940322771136,1.9374080183254698,1.0787139860483563
1,10,0.01,120.0,2.0,-1.2,-0.2,-0.2,0.3035269499639914,0.9988992926675812,0.997556440362905,0.0013428523046761232,1.008787637492199,1.684073824000104,0.6752861865079052
