k_ts,k_st,k_ss,n_runs,r_mean,r_sd,ts_plv_mean,ts_plv_sd,ss_plv_mean,ss_plv_sd,teacher_dom_mean,teacher_dom_sd,ts_distpi_mean,ts_distpi_sd,ss_distpi_mean,ss_distpi_sd,teacher_antiphase_dom_mean,teacher_antiphase_dom_sd
-1.2,-0.4,-0.2,5,0.22377631087789046,0.03507323434049653,0.9910389792920377,0.011973110457602904,0.9911307007451515,0.00560916400603732,-9.17214531138244e-05,0.006899927865431921,1.1905315666799288,0.281071075210137,1.6197617519604397,0.16206871698944805,0.42923018528051093,0.44138074679587436
-1.2,-0.4,0.0,5,0.39358596786257694,0.12624101408623667,0.9954339236087352,0.006076498173284746,0.9931025612561518,0.006778941626033943,0.0023313623525833107,0.0013092780924608134,0.9565391849573898,0.23341311130423922,1.8384024560610157,0.2046064558507495,0.8818632711036262,0.4354929503255659
-1.2,-0.2,-0.2,5,0.21267236185054433,0.05653367711394876,0.9931664898987369,0.008284739043238325,0.991371341435428,0.0064299522080782535,0.0017951484633089488,0.0023001089483614344,1.35257764353702,0.2602511328850284,1.5461881583599846,0.10329337198432909,0.1936105148229644,0.3476567124409068
-1.2,-0.2,0.0,5,0.3665059576163402,0.14427465934362457,0.9944794259464567,0.007218772234576992,0.9925086065883928,0.008348535039637077,0.0019708193580638468,0.0015271969030458475,1.0862562155659201,0.356280503031342,1.8208320307497594,0.2650348298693561,0.7345758151838393,0.6154488305668763
-1.2,0.0,-0.2,5,0.1961326987118144,0.053277236595336314,0.991066640218904,0.011459448158255886,0.9911195167810358,0.006051070323944325,-5.287656213170955e-05,0.00662116883811951,1.1542146668744826,0.22860380503959715,1.6059520700043943,0.11723915103817256,0.45173740312991184,0.34291312221709225
-1.2,0.0,0.0,5,0.343770432859872,0.16215650783939006,0.990584079878565,0.011776950279195045,0.9904219444788354,0.005552666186498235,0.000162135399729757,0.007642393073396085,1.2824222398959155,0.5880667014907082,1.7697035373069425,0.37712547141097685,0.4872812974110271,0.868660859940435
-1.0,-0.4,-0.2,5,0.18519905037606935,0.03781491111378911,0.9917446493515978,0.009891780950018634,0.9914691602726249,0.005351451938405577,0.00027548907897281263,0.005377439910422927,1.3265617851493476,0.08955884492038724,1.5048729708048707,0.041395387124543874,0.17831118565552315,0.12937007930256764
-1.0,-0.4,0.0,5,0.36465839371332087,0.09406626618423253,0.9943993463664036,0.004226193853998221,0.9898708128454317,0.007301985042131349,0.004528533520972067,0.003424916944340271,1.1420414969129729,0.5118955815437031,1.835544259081238,0.2511159169784104,0.693502762168265,0.6692597681591264
-1.0,-0.2,-0.2,5,0.17379943399378622,0.0402180187123654,0.9922372824103987,0.009675442797668986,0.9904069348625868,0.00817737666916653,0.0018303475478119058,0.0020446151491424445,1.336648156152369,0.2850259476209246,1.5569858715858813,0.07913382172899219,0.22033771543351227,0.34416097555116476
-1.0,-0.2,0.0,5,0.3207315542713093,0.14080875166421689,0.994437628391737,0.006474498123435093,0.9927065147806304,0.006368321781932041,0.001731113611106494,0.0007776669766619844,1.1420648113760496,0.3423350942199568,1.7950573520969209,0.2993282101096687,0.6529925407208712,0.6163383029719804
